case_id,primary_rule_id,case_design_type,rule_behaviour,section,context_before,target_sentence,context_after,surface_feature,provisional_expected_decision,provisional_rationale,protected_context,severity_if_flagged,synthetic,reviewer_1_decision,reviewer_1_confidence,reviewer_2_decision,reviewer_2_confidence,adjudicated_decision,adjudication_notes
"AVA-C001","ACP-PHR-001","CLEAR_FLAG","Flag","Discussion","The fictional comparison distinguishes two ways of grouping the same categories.","This distinction is crucial.","The passage moves directly to an unrelated limitation.","Unexplained significance term: crucial","FLAG","No consequence, scope, decision, interpretation, or affected object explains the asserted importance.","None identified","Medium","TRUE","","","","","",""
"AVA-C002","ACP-PHR-001","CLEAR_PROTECT","Flag","Findings","The synthetic analysis reports a difference between two invented scoring procedures.","The difference is statistically significant at the pre-specified threshold.","The next sentence reports the synthetic test statistic without claiming practical importance.","Term significant with defined statistical meaning","PROTECT","The term has an explicitly statistical meaning rather than functioning as an empty importance label.","Statistical significance","Medium","TRUE","","","","","",""
"AVA-C003","ACP-PHR-001","CLEAR_NO_MATCH","Flag","Methodology","The synthetic protocol introduces a routine calibration sequence.","Calibration establishes the baseline used by the later checking phase.","The next sentence describes the transformation step directly.","No significance or importance expression","NO_MATCH","The passage contains no candidate significance term or equivalent evaluative importance claim.","None needed because no candidate feature is present","Medium","TRUE","","","","","",""
"AVA-C004","ACP-PHR-001","SECTION_SENSITIVE_BOUNDARY","Flag","Literature Review","The sentence follows a synthetic summary of several unnamed conceptual positions.","This is an important development in the debate.","No source wording or later explanation is supplied in the case.","Unexplained significance term: important","UNCERTAIN","The local sentence does not explain importance, but missing source and paragraph context could contain accurate attribution or an earlier consequence.","Possible attributed or prior-context explanation cannot be checked","Medium","TRUE","","","","","",""
"AVA-C005","ACP-CLM-001","CLEAR_FLAG","Flag","Discussion","A fictional small-scope illustration considered two settings only.","This framework always improves interpretation.","No conditions, population, or supporting domain are stated.","Unbounded universal: always","FLAG","The universal extends beyond the limited scope supplied and no protected logical or bounded use applies.","None identified","High","TRUE","","","","","",""
"AVA-C006","ACP-CLM-001","CLEAR_PROTECT","Flag","Methodology","The synthetic protocol defines a closed list of four checklist items.","Every item in the four-item checklist was reviewed.","Completion was recorded separately for each item.","Universal quantifier: every","PROTECT","The universal is explicitly bounded by a fully enumerated set.","Explicitly bounded universal in an enumerated procedure","High","TRUE","","","","","",""
"AVA-C007","ACP-CLM-001","CLEAR_NO_MATCH","Flag","Findings","The fictional table contains twelve invented records.","Nine records met the stated inclusion condition.","Three records were marked incomplete.","No universal quantifier or unrestricted claim","NO_MATCH","The sentence reports a bounded count without always, never, every, all, or an equivalent universal claim.","None needed because no candidate feature is present","High","TRUE","","","","","",""
"AVA-C008","ACP-CLM-001","SECTION_SENSITIVE_BOUNDARY","Flag","Literature Review","The passage paraphrases an unnamed hypothetical source but does not provide its wording.","The source argues that such categories never overlap.","No quotation, definition, or account of the source's scope is available.","Attributed universal: never","UNCERTAIN","Accurate attribution would be protected, but the supplied case cannot establish whether the source used or supported the universal scope.","Possible accurate attribution cannot be verified","High","TRUE","","","","","",""
"AVA-C009","ACP-CLM-002","CLEAR_FLAG","Flag","Discussion","A synthetic exploratory comparison uses a narrow invented example and states no causal design.","This comparison proves that the approach succeeds in every context.","The passage supplies no deduction or conclusive evidence.","High-certainty reporting verb: proves","FLAG","The verb and unrestricted conclusion are stronger than the described exploratory evidence warrants.","None identified","High","TRUE","","","","","",""
"AVA-C010","ACP-CLM-002","CLEAR_PROTECT","Flag","General Academic Writing","Under the stated fictional axioms, both sides of the identity reduce to the same expression.","The derivation proves the identity under those assumptions.","No claim is made beyond the bounded formal result.","High-certainty verb in logical derivation: proves","PROTECT","A bounded logical derivation is a protected conclusive use.","Mathematically or logically established proposition","High","TRUE","","","","","",""
